Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Saudi Arabia,37,6.344,1.53062,1.28668,0.59015,0.44975,0.27343,0.14762,2.06543
Trinidad and Tobago,38,6.168,1.36136,1.38023,0.51998,0.51863,0.00896,0.32530,2.05325
Kuwait,39,6.105,1.63295,1.25970,0.63211,0.49634,0.21516,0.22829,1.64043
Slovakia,40,6.098,1.32539,1.50506,0.71273,0.29582,0.02421,0.13654,2.09778
Bahrain,41,6.087,1.48841,1.32311,0.65313,0.53675,0.25704,0.17267,1.65615
Malaysia,42,6.084,1.29122,1.28465,0.61878,0.40226,0.06560,0.41661,2.00445
Nicaragua,43,6.071,0.73730,1.28722,0.65310,0.44755,0.13069,0.30167,2.51393
Ecuador,44,6.008,1.00082,1.28617,0.68564,0.45520,0.14013,0.15011,2.29035
El Salvador,45,6.003,0.90978,1.18213,0.59602,0.43245,0.08998,0.07826,2.71459
Poland,46,5.973,1.29179,1.44571,0.69948,0.52034,0.05931,0.15847,1.79772
Uzbekistan,47,5.971,0.78644,1.54897,0.49827,0.65825,0.24653,0.41598,1.81691
Italy,48,5.964,1.39507,1.44492,0.85314,0.25645,0.02803,0.17279,1.81331
Russia,49,5.963,1.28178,1.46928,0.54735,0.37378,0.03296,0.05226,2.20561
Belize,50,5.956,0.90798,1.08142,0.45019,0.54751,0.09658,0.24002,2.63196
Japan,51,5.920,1.41692,1.43634,0.91348,0.50563,0.16376,0.12057,1.36322
Lithuania,52,5.902,1.31458,1.47352,0.62895,0.23423,0.01187,0.01016,2.22844
Algeria,53,5.872,1.09186,1.14622,0.61758,0.23334,0.14610,0.06944,2.56760
Latvia,54,5.850,1.26075,1.40471,0.63857,0.32571,0.07384,0.15307,1.99366
South Korea,55,5.838,1.40168,1.12827,0.90021,0.25792,0.06328,0.20667,1.88038
Moldova,56,5.838,0.72887,1.25183,0.58947,0.24073,0.01009,0.20878,2.80781
Romania,57,5.825,1.21768,1.15009,0.68516,0.45700,0.00439,0.13352,2.17683
Bolivia,58,5.823,0.83376,1.22762,0.47363,0.55873,0.06048,0.22556,2.44328
Turkmenistan,59,5.822,1.13078,1.49315,0.43773,0.41827,0.25927,0.24992,1.83291
Kazakhstan,60,5.819,1.28456,1.38437,0.60604,0.43745,0.11928,0.20196,1.78489
North Cyprus,61,5.810,1.34691,1.18630,0.83465,0.47120,0.15535,0.26685,1.54916
Slovenia,62,5.758,1.34121,1.45252,0.79083,0.57258,0.04513,0.24265,1.31332
Peru,63,5.715,1.03523,1.21877,0.63017,0.45000,0.04705,0.12682,2.20727
Mauritius,64,5.629,1.18940,1.20956,0.63801,0.49125,0.04218,0.36093,1.69758
Cyprus,65,5.621,1.35594,1.13136,0.84471,0.35511,0.04124,0.27125,1.62125
Estonia,66,5.611,1.32088,1.47667,0.69517,0.47913,0.18325,0.09889,1.35751
Belarus,67,5.569,1.15656,1.44495,0.63771,0.29540,0.15631,0.15514,1.72323
Libya,68,5.525,1.10180,1.35756,0.52017,0.46573,0.09261,0.15207,1.83501
Turkey,69,5.500,1.19827,1.33775,0.63761,0.30074,0.09967,0.04669,1.87928
Paraguay,70,5.493,0.93254,1.50728,0.57925,0.47351,0.09107,0.22415,1.68533
"Hong Kong S.A.R., China",71,5.472,1.55167,1.26279,0.94306,0.49097,0.29393,0.37447,0.55463
Philippines,72,5.430,0.85770,1.25392,0.46801,0.58521,0.09933,0.19351,1.97260
Serbia,73,5.395,1.06932,1.25819,0.65078,0.20872,0.04090,0.22013,1.94708
Jordan,74,5.336,0.99101,1.23909,0.60459,0.41842,0.11980,0.17217,1.79118
Hungary,75,5.324,1.28601,1.34313,0.68776,0.17586,0.03664,0.07840,1.71646
Jamaica,76,5.311,0.92558,1.36822,0.64102,0.47431,0.05527,0.23382,1.61233
Croatia,77,5.293,1.22256,0.96798,0.70129,0.25577,0.04310,0.24800,1.85449
Kosovo,78,5.279,0.95148,1.13785,0.54145,0.26029,0.05747,0.31993,2.01054
China,79,5.273,1.08117,1.16084,0.74142,0.47279,0.02279,0.02881,1.76494
Pakistan,80,5.269,0.72688,0.67269,0.40205,0.23522,0.12435,0.31545,2.79249
Indonesia,81,5.262,0.99554,1.27444,0.49235,0.44332,0.01532,0.61170,1.42948
Venezuela,82,5.250,1.12843,1.43134,0.61714,0.15400,0.06449,0.06502,1.78946
Montenegro,83,5.237,1.12113,1.23838,0.66746,0.19499,0.08817,0.19791,1.72919
Morocco,84,5.235,0.87811,0.77486,0.59771,0.40816,0.08776,0.03221,2.45619
Azerbaijan,85,5.234,1.15360,1.15240,0.54078,0.39816,0.18099,0.04527,1.76248
Dominican Republic,86,5.230,1.07937,1.40242,0.57487,0.55259,0.11395,0.18697,1.31947
Greece,87,5.227,1.28949,1.23941,0.81020,0.09573,0.04329,0.00000,1.74922
Lebanon,88,5.225,1.07499,1.12962,0.73508,0.28852,0.03751,0.26445,1.69507
Portugal,89,5.195,1.31518,1.36704,0.79584,0.49847,0.01587,0.09510,1.10768
Bosnia and Herzegovina,90,5.182,0.98241,1.06934,0.70519,0.20440,0.00000,0.32887,1.89217
Honduras,91,5.181,0.73057,1.14394,0.58257,0.34808,0.07335,0.23619,2.06581
Macedonia,92,5.175,1.06458,1.20789,0.64495,0.32591,0.06028,0.25376,1.61747
Somalia,93,5.151,0.02264,0.72115,0.11399,0.60213,0.28241,0.29163,3.11748
Vietnam,94,5.074,0.78855,1.27749,0.65217,0.57106,0.08763,0.23497,1.46232
Nigeria,95,5.074,0.78376,1.21577,0.05692,0.39495,0.02612,0.23095,2.36539
Tajikistan,96,5.041,0.52471,1.27146,0.52924,0.47157,0.14638,0.24900,1.84905
Bhutan,97,5.011,0.88542,1.34013,0.49588,0.50154,0.17338,0.47405,1.14018
Kyrgyzstan,98,5.004,0.59622,1.39424,0.55346,0.45494,0.03944,0.42858,1.53672
Nepal,99,4.962,0.47982,1.17928,0.50413,0.44031,0.07298,0.39410,1.89124
Mongolia,100,4.955,1.02724,1.49301,0.55778,0.39414,0.03290,0.33846,1.11129
South Africa,101,4.829,1.05470,1.38479,0.18708,0.47925,0.07251,0.13936,1.51091
Tunisia,102,4.805,1.00727,0.86835,0.61321,0.28968,0.08672,0.04969,1.89025
Palestinian Territories,103,4.775,0.71625,1.15565,0.56567,0.25471,0.08928,0.11417,1.87889
Egypt,104,4.735,0.98970,0.99747,0.52019,0.28211,0.11438,0.12863,1.70216
Bulgaria,105,4.714,1.16146,1.43438,0.70822,0.28923,0.01105,0.11318,0.99614
Sierra Leone,106,4.709,0.36842,0.98414,0.00556,0.31870,0.07110,0.29304,2.66846
Cameroon,107,4.695,0.56431,0.94602,0.13289,0.43039,0.05131,0.23630,2.33365
Iran,108,4.692,1.15687,0.71155,0.63933,0.24932,0.04876,0.38724,1.49873
Albania,109,4.644,0.99619,0.80369,0.73116,0.38150,0.03986,0.20131,1.49044
Bangladesh,110,4.608,0.58668,0.73513,0.53324,0.47836,0.12372,0.17226,1.97874
Namibia,111,4.574,0.96443,1.09847,0.33861,0.52030,0.09315,0.07713,1.48189
Kenya,112,4.553,0.56048,1.06795,0.30999,0.45276,0.06464,0.44486,1.65190
Mozambique,113,4.550,0.23431,0.87070,0.10665,0.48079,0.17944,0.32223,2.35565
Myanmar,114,4.545,0.36711,1.12324,0.39752,0.51449,0.18882,0.83808,1.11529
Senegal,115,4.535,0.47931,1.17969,0.40936,0.37792,0.11546,0.18347,1.78965
Zambia,116,4.514,0.63641,1.00319,0.25784,0.46160,0.07821,0.24958,1.82671
Iraq,117,4.497,1.10271,0.97861,0.50118,0.28856,0.10722,0.19964,1.31891
Gabon,118,4.465,1.19821,1.15562,0.35658,0.31233,0.07605,0.04379,1.32292
Ethiopia,119,4.460,0.33923,0.86467,0.35341,0.40884,0.16546,0.31265,2.01574
Sri Lanka,120,4.440,1.00985,1.25998,0.62513,0.56121,0.07365,0.49086,0.41939
Armenia,121,4.376,0.90060,1.00748,0.63752,0.19830,0.02667,0.08349,1.52150
India,122,4.315,0.79222,0.75437,0.45543,0.46999,0.09223,0.23154,1.51912
Mauritania,123,4.292,0.64846,1.27203,0.28535,0.09610,0.13696,0.20187,1.65164
Congo (Brazzaville),124,4.291,0.80896,0.83204,0.28996,0.43503,0.07962,0.12085,1.72414
Georgia,125,4.286,0.95061,0.57061,0.64955,0.30941,0.25167,0.05401,1.50014
Congo (Kinshasa),126,4.280,0.09210,1.22902,0.19141,0.23596,0.06024,0.24646,2.22496
Mali,127,4.190,0.47618,1.28147,0.16937,0.30661,0.10497,0.18335,1.66819
Ivory Coast,128,4.180,0.60305,0.90478,0.04864,0.44771,0.13006,0.20124,1.84496
Cambodia,129,4.168,0.60177,1.00624,0.42978,0.63338,0.06811,0.38592,1.04294
Sudan,130,4.139,0.65952,1.21401,0.29092,0.01500,0.08985,0.18232,1.68707
Ghana,131,4.120,0.66722,0.87366,0.29564,0.42303,0.02534,0.25692,1.57787
Ukraine,132,4.096,0.89465,1.39454,0.57590,0.12297,0.02303,0.27006,0.81438
Uganda,133,4.081,0.38143,1.12983,0.21763,0.44319,0.05707,0.32577,1.52636
Burkina Faso,134,4.032,0.35023,1.04328,0.21584,0.32437,0.12033,0.25086,1.72721
Niger,135,4.028,0.16193,0.99303,0.26851,0.36366,0.13857,0.22867,1.87398
Malawi,136,3.970,0.23344,0.51257,0.31509,0.46691,0.07271,0.28717,2.08179
Chad,137,3.936,0.43801,0.95386,0.04113,0.16234,0.05358,0.21611,2.07124
Zimbabwe,138,3.875,0.37585,1.08310,0.19676,0.33638,0.09538,0.18914,1.59797
Lesotho,139,3.808,0.52102,1.19010,0.00000,0.39066,0.11909,0.15750,1.42984
Angola,140,3.795,0.85843,1.10441,0.04987,0.00000,0.06972,0.09793,1.61448
Afghanistan,141,3.794,0.40148,0.58154,0.18075,0.10618,0.06116,0.31187,2.15080
Botswana,142,3.766,1.12209,1.22155,0.34176,0.50520,0.09858,0.09935,0.37791
Benin,143,3.657,0.43109,0.43530,0.20993,0.42596,0.06093,0.20795,1.88563
Madagascar,144,3.644,0.30581,0.91302,0.37522,0.18920,0.06723,0.20873,1.58461
Haiti,145,3.603,0.36861,0.64045,0.27732,0.03037,0.09987,0.48920,1.69717
Yemen,146,3.593,0.59168,0.93538,0.31008,0.24946,0.05677,0.10413,1.34560
South Sudan,147,3.591,0.39725,0.60132,0.16349,0.14706,0.11679,0.28567,1.87957
Liberia,148,3.533,0.11904,0.87212,0.22992,0.33288,0.03895,0.26655,1.67329
Guinea,149,3.507,0.24455,0.79124,0.19413,0.34859,0.11094,0.26482,1.55231
Togo,150,3.495,0.30544,0.43188,0.24711,0.38043,0.09567,0.19690,1.83723
Rwanda,151,3.471,0.36875,0.94571,0.32642,0.58184,0.45522,0.25276,0.54006
Syria,152,3.462,0.77715,0.39610,0.50053,0.08154,0.15135,0.49366,1.06157
Tanzania,153,3.349,0.51114,1.04199,0.36451,0.39002,0.06604,0.35426,0.62113
Burundi,154,2.905,0.09162,0.62979,0.15161,0.05990,0.08415,0.20444,1.68302
Central African Republic,155,2.693,0.00000,0.00000,0.01877,0.27084,0.05657,0.28088,2.06600
