,Country,2015 Trust,2016 Trust,2017 Trust
143,Niger,0.15639,0.17176,0.13857
144,Cambodia,0.07247,0.08092,0.06811
145,Tanzania,0.05747,0.05099,0.06604
146,Madagascar,0.08124,0.07506,0.06723
148,Chad,0.05269,0.04952,0.05358
149,Guinea,0.12139,0.1192,0.11094
150,Ivory Coast,0.17922,0.1553,0.13006
151,Burkina Faso,0.12832,0.12533,0.12033
152,Afghanistan,0.09719,0.07112,0.06116
153,Rwanda,0.55191,0.50521,0.45522
154,Benin,0.0801,0.06681,0.06093
155,Syria,0.18906,0.17233,0.15135
156,Burundi,0.10062,0.09419,0.08415
157,Togo,0.10731,0.11587,0.09567
