Country,Happiness Rank,Happiness Score,Freedom,Dystopia Residual
Iraq,117,4.497,0.28856,1.31891
Gabon,118,4.465,0.31233,1.32292
Ethiopia,119,4.46,0.40884,2.01574
Sri Lanka,120,4.44,0.56121,0.41939
Armenia,121,4.376,0.1983,1.5215
India,122,4.315,0.46999,1.51912
Mauritania,123,4.292,0.0961,1.65164
Congo (Brazzaville),124,4.291,0.43503,1.72414
Georgia,125,4.286,0.30941,1.50014
Congo (Kinshasa),126,4.28,0.23596,2.22496
Mali,127,4.19,0.30661,1.66819
Ivory Coast,128,4.18,0.44771,1.84496
Cambodia,129,4.168,0.63338,1.04294
Sudan,130,4.139,0.015,1.68707
Ghana,131,4.12,0.42303,1.57787
Ukraine,132,4.096,0.12297,0.81438
Uganda,133,4.081,0.44319,1.52636
Burkina Faso,134,4.032,0.32437,1.72721
Niger,135,4.028,0.36366,1.87398
Malawi,136,3.97,0.46691,2.08179
Chad,137,3.936,0.16234,2.07124
Zimbabwe,138,3.875,0.33638,1.59797
Lesotho,139,3.808,0.39066,1.42984
Angola,140,3.795,0.0,1.61448
Afghanistan,141,3.794,0.10618,2.1508
Botswana,142,3.766,0.5052,0.37791
Benin,143,3.657,0.42596,1.88563
Madagascar,144,3.644,0.1892,1.58461
Haiti,145,3.603,0.03037,1.69717
Yemen,146,3.593,0.24946,1.3456
South Sudan,147,3.591,0.14706,1.87957
Liberia,148,3.533,0.33288,1.67329
Guinea,149,3.507,0.34859,1.55231
Togo,150,3.495,0.38043,1.83723
Rwanda,151,3.471,0.58184,0.54006
Syria,152,3.462,0.08154,1.06157
Tanzania,153,3.349,0.39002,0.62113
Burundi,154,2.905,0.0599,1.68302
Central African Republic,155,2.693,0.27084,2.066
